slices,colour,cluster,r,value
T3M_7_1_slice9.pkl,val_green,0,172,17.4
T3M_7_1_slice9.pkl,val_green,0,173,14.93
T3M_7_1_slice9.pkl,val_green,0,174,12.68
T3M_7_1_slice9.pkl,val_green,0,175,11.55
T3M_7_1_slice9.pkl,val_green,0,176,10.76
T3M_7_1_slice9.pkl,val_green,0,177,10.3
T3M_7_1_slice9.pkl,val_green,0,178,10.22
T3M_7_1_slice9.pkl,val_green,0,179,11.6
T3M_7_1_slice9.pkl,val_green,0,180,12.92
T3M_7_1_slice9.pkl,val_green,0,181,14.95
T3M_7_1_slice9.pkl,val_green,0,182,18.56
T3M_7_1_slice9.pkl,val_green,0,183,21.59
T3M_7_1_slice9.pkl,val_green,0,184,25.32
T3M_7_1_slice9.pkl,val_green,0,185,30.51
T3M_7_1_slice9.pkl,val_green,0,186,34.71
T3M_7_1_slice9.pkl,val_green,0,187,39.34
T3M_7_1_slice9.pkl,val_green,0,188,41.82
T3M_7_1_slice9.pkl,val_green,0,189,46.6
T3M_7_1_slice9.pkl,val_green,0,190,51.33
T3M_7_1_slice9.pkl,val_green,0,191,53.82
T3M_7_1_slice9.pkl,val_green,0,192,55.63
T3M_7_1_slice9.pkl,val_green,0,193,57.73
T3M_7_1_slice9.pkl,val_green,0,194,58.11
T3M_7_1_slice9.pkl,val_green,0,195,59.94
T3M_7_1_slice9.pkl,val_green,0,196,59.78
T3M_7_1_slice9.pkl,val_green,0,197,59.57
T3M_7_1_slice9.pkl,val_green,0,198,59.8
T3M_7_1_slice9.pkl,val_green,0,199,58.97
T3M_7_1_slice9.pkl,val_green,0,200,59.33
T3M_7_1_slice9.pkl,val_green,0,201,57.07
T3M_7_1_slice9.pkl,val_green,0,202,56.32
T3M_7_1_slice9.pkl,val_green,0,203,54.06
T3M_7_1_slice9.pkl,val_green,0,204,51.03
T3M_7_1_slice9.pkl,val_green,0,205,50.07
T3M_7_1_slice9.pkl,val_green,0,206,45.6
T3M_7_1_slice9.pkl,val_green,0,207,42.6
T3M_7_1_slice9.pkl,val_green,0,208,39.17
T3M_7_1_slice9.pkl,val_green,0,209,35.43
T3M_7_1_slice9.pkl,val_green,0,210,32.29
T3M_7_1_slice9.pkl,val_green,0,211,27.45
T3M_7_1_slice9.pkl,val_green,0,212,23.57
T3M_7_1_slice9.pkl,val_green,0,213,19.11
T3M_7_1_slice9.pkl,val_green,0,214,16.15
T3M_7_1_slice9.pkl,val_green,0,215,12.65
T3M_7_1_slice9.pkl,val_green,0,216,9.76
T3M_7_1_slice9.pkl,val_green,0,217,8.27
T3M_7_1_slice9.pkl,val_green,0,218,6.68
T3M_7_1_slice9.pkl,val_green,0,219,4.97
T3M_7_1_slice9.pkl,val_green,0,220,4.9
T3M_7_1_slice9.pkl,val_green,0,221,4.15
T3M_7_1_slice9.pkl,val_green,0,222,3.94
T3M_7_1_slice9.pkl,val_green,0,223,3.69
T3M_7_1_slice9.pkl,val_green,0,224,3.33
T3M_7_1_slice9.pkl,val_green,0,225,3.32
T3M_7_1_slice9.pkl,val_green,0,226,2.9
T3M_7_1_slice9.pkl,val_green,0,227,3.15
T3M_7_1_slice9.pkl,val_green,0,228,2.98
T3M_7_1_slice9.pkl,val_green,0,229,3.07
T3M_7_1_slice9.pkl,val_green,0,230,2.64
T3M_7_1_slice9.pkl,val_green,0,231,2.95
T3M_7_1_slice9.pkl,val_green,0,232,3.13
T3M_7_1_slice9.pkl,val_green,0,233,3.21
T3M_7_1_slice9.pkl,val_green,0,234,3.29
T3M_7_1_slice9.pkl,val_green,0,235,3.43
T3M_7_1_slice9.pkl,val_green,0,236,4.13
T3M_7_1_slice9.pkl,val_green,0,237,4.15
T3M_7_1_slice9.pkl,val_green,0,238,5.27
T3M_7_1_slice9.pkl,val_green,0,239,5.91
T3M_7_1_slice9.pkl,val_green,0,240,6.4
T3M_7_1_slice9.pkl,val_green,0,241,7.09
T3M_7_1_slice9.pkl,val_green,0,242,7.96
T3M_7_1_slice9.pkl,val_green,0,243,8.6
T2M_6_1_slice1.pkl,val_green,2,0,264
T2M_6_1_slice1.pkl,val_green,2,1,229.67
T2M_6_1_slice1.pkl,val_green,2,2,247.65
T2M_6_1_slice1.pkl,val_green,2,3,279.82
T2M_6_1_slice1.pkl,val_green,2,4,343.1
T2M_6_1_slice1.pkl,val_green,2,5,357.8
T2M_6_1_slice1.pkl,val_green,2,6,360.53
T2M_6_1_slice1.pkl,val_green,2,7,369.95
T2M_6_1_slice1.pkl,val_green,2,8,374.29
